,user,text,created_at
50,1641337745263173632,"@RenoviHub @most_mojo @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:06:37+00:00
51,1641308898232782854,"@0xjencityx_win @Metaverse_SC @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:06:22+00:00
52,1641308898232782854,"@piacere_ex @b_o_psm2s7 @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:05:50+00:00
53,1641337745263173632,"@0xEpica @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:05:41+00:00
54,2371042173,"@cryptojack From @flokidragon_ community. Cmc and Cg applied coming soon 
NFTs are ready , buy now and #HODL 🥳
Make sure you are on #Rocket 

https://t.co/rVjVsHJbcj💫

#Dragon #Floki #ElonMusk #ドラゴン #龙 🚀 🚀 https://t.co/TLNbjspXxC",2023-06-01 11:05:29+00:00
55,1641337745263173632,"@BuloSehi @CryptopiaOFCL @LaudieLabapis @Mrce07 @Dadaaacutie @aabboooo_ @DinoTelle5 @yaisaeko @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:05:27+00:00
56,1641337745263173632,"@RossTesas @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:05:13+00:00
57,1641317353395826690,"@g_mampi12 @BeHfdhj6611 @hhjhfd10 @ghgrh The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:05:13+00:00
58,1630087958123646978,"Teaching kids about our constitution &amp; holy books like Vedas, Bible, Gita, Quran is good They become good thinkers, when we choose leaders, we want them to be wise &amp; kind. Let's make education strong &amp; pick smart leaders for a better India! #Serilingampally #SSRajamouli #ElonMusk https://t.co/wTSKYJzaUn",2023-06-01 11:05:04+00:00
59,827501045550944256,"@NBCNews You can't blame the virality of @AOCpress #AOCParody  on @elonmusk #ElonMusk, although his followers probably enjoyed the fun.  But @AOC @RepAOC  #AOC  going ""RREEEEEE!"" over it absolutely did.  Elon's reinstatement of freedom of speech &amp; enjoying humor wasn't the issue. AOC's… https://t.co/uUH30ViifW https://t.co/S3EG1sYLbD",2023-06-01 11:05:00+00:00
60,1641337745263173632,"@AyySprocket @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:04:58+00:00
61,1641317353395826690,"@BSC_Allday @VitaInuCoin @DwfLabs @AltCryptoGems @cryptohuntzman @Cryptoqueen_BNB @Eljaboom @yourcryptodj @Bluntz_Capital @BinancePk The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:04:50+00:00
62,1641337745263173632,"@EpikPrime @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:04:48+00:00
63,1641317353395826690,"@GIDEONONYEMACH1 The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:04:06+00:00
64,1641317353395826690,"@cryptowins593 The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:03:54+00:00
65,1641317353395826690,"@AN_art8co The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:03:25+00:00
66,1632351326016356353,"@SaitamaVrod72 @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/NVXJ9vwVr5",2023-06-01 11:03:12+00:00
67,1641317353395826690,"@TechNodeGlobal The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:03:02+00:00
68,1632351326016356353,"@MayurChaubey2 @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/jkunuSCJiC",2023-06-01 11:02:58+00:00
69,1066441453797281792,🚀 Embrace the change or face the disaster - wise words from the visionary @elonmusk! 💡 Let's all be fearless in the pursuit of progress and innovation. Are you ready to adapt and thrive? 💪🌍 #ElonMusk #ChangeMakers #Innovation #AdaptAndConquer #GrowthMindset #EmbraceChange https://t.co/w4BoLNlDjB,2023-06-01 11:02:55+00:00
70,1632351326016356353,"@Eris_BTC @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/hUJ1P2kqRn",2023-06-01 11:02:50+00:00
71,1632351326016356353,"@DeepakD33203852 @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/Iv41p9RdpI",2023-06-01 11:02:42+00:00
72,1641317353395826690,"@OscarSmithETH @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contribute with them",2023-06-01 11:02:39+00:00
73,1072604489222369287,"@cz_binance and @binance needs support to #USTC reworking
Total bullish on

#LUNC @elonmusk #ElonMusk #PEPE #BTC #REPEG https://t.co/OWCVoLLTv3",2023-06-01 11:02:38+00:00
74,1437341645683322880,Elon Musk must be a CCP Party Member by now. #ElonMusk #TaiwanIsACountry https://t.co/TRxmOwLoZj,2023-06-01 11:02:35+00:00
75,1632351326016356353,"@DeepakD33203852 @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/Yx3xbCVBOd",2023-06-01 11:02:16+00:00
76,1626469649989640193,Please visit our official website to know more about our wide spectrum of services. #business #service #WTCFinal2023 #ElonMusk #HongKong #SpiderManAcrossTheSpiderVerse #AEWDynamite #FreeElectricityInRajasthan #Apple #USDD #S_Class #SupportSmallStreamers #supportsmallbusiness https://t.co/FW57nOZcce,2023-06-01 11:02:14+00:00
77,1641311712337903618,"@Xtheo_Eths The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:02:13+00:00
78,1632351326016356353,"@MovieRoom1 @BabyDogeCoin $BRAK @itsbrakofficial will be the new Pepe, don't miss it
🚀💎🚀 🌙🚀🔥🌝✅🚀

Telegram Group:  https://t.co/WOYNAHUQDq
 
#BRAK #BRAKARMY #BRAKFORALL
#ShibaArmy #ShibaDoge #DOGE #Dogecoin #ShibaWhalesArmy #SHIBARMY #SHIBARMYSTRONG #ElonMusk https://t.co/unSKgRd9KO",2023-06-01 11:02:04+00:00
